Animation,Notes
h_a_412a,Ladder animation. HumanState ladder idle/hold clip.
h_a_422a,Ladder animation. HumanState ladder climb-up clip.
h_a_4242,Ladder animation.
h_a_4243,Ladder animation. Explicit script refs: Mission11.
h_a_4262,Ladder animation.
h_a_4263,Ladder animation.
h_a_432a,Ladder animation. HumanState ladder climb-down clip.
h_a_601a,"Death animation. Explicit script refs: Mission01, Mission04, Mission05, Mission06 +1 more."
h_a_611a,"Death animation. Explicit script refs: Mission03, PRDemo, Test_BMG."
h_a_612a,Death animation. HumanState death reaction for groin hit.
h_a_613a,Death animation. Explicit script refs: Mission01.
h_a_622a,Death animation. HumanState death reaction for head hit from behind; torso hit from behind. Explicit script refs: Mission03.
h_a_623a,Death animation. HumanState death reaction for left-arm hit from behind; left-leg hit from behind.
h_a_624a,Death animation. HumanState death reaction for right-arm hit from behind; right-leg hit from behind.
h_a_631a,Death animation.
h_a_632a,Death animation. HumanState death reaction for torso hit from front. Explicit script refs: Mission03.
h_a_633a,Death animation. HumanState death reaction for right-arm hit from front; right-leg hit from front.
h_a_634a,Death animation. HumanState death reaction for left-arm hit from front; left-leg hit from front.
h_a_635a,Death animation. HumanState death reaction for head hit from front.
h_a_690a,Death animation.
h_a_691a,Death animation.
h_a_692a,Death animation.
h_a_693a,Death animation.
h_a_6x01,Death animation. HumanState ON_CHEM loop; Toolkit_Objects also uses it for scripted gas-death playback. Explicit script refs: Toolkit_Objects.
h_a_6x03,Death animation.
h_a_6x04,Death animation.
h_a_6x05,"Death animation. HumanState ON_ELECTRIC loop; Toolkit_Objects also uses it for scripted electric-death playback. Explicit script refs: Test_DAK, Toolkit_Objects."
h_a_7002,"Cinematic animation. Explicit script refs: Mission04, Mission05, Mission11."
h_a_811a,Wounded animation. HumanState wounded reaction for head hit from behind.
h_a_812a,Wounded animation. HumanState wounded reaction for head hit from front.
h_a_821a,Wounded animation. HumanState wounded reaction for torso hit from behind.
h_a_822a,"Wounded animation. HumanState wounded reaction for torso hit from front. Explicit script refs: Mission04, Mission11."
h_a_831a,Wounded animation. HumanState wounded reaction for left-arm hit from behind.
h_a_832a,Wounded animation. HumanState wounded reaction for left-arm hit from front.
h_a_841a,Wounded animation. HumanState wounded reaction for right-arm hit from behind.
h_a_842a,Wounded animation. HumanState wounded reaction for right-arm hit from front.
h_a_851a,Wounded animation. HumanState wounded reaction for left-leg hit from behind.
h_a_852a,Wounded animation. HumanState wounded reaction for left-leg hit from front.
h_a_861a,Wounded animation. HumanState wounded reaction for right-leg hit from behind.
h_a_862a,Wounded animation. HumanState wounded reaction for right-leg hit from front. Explicit script refs: Mission01.
h_a_871a,Wounded animation. HumanState wounded reaction for groin hit.
h_a_890a,Wounded animation.
h_a_891a,"Wounded animation. Explicit script refs: Mission09, Mission11."
h_a_892a,Wounded animation. Explicit script refs: Mission11.
h_a_893a,Wounded animation. Explicit script refs: Mission11.
h_a_a0a0,C4-beacon-handsdown stance; Stand. Explicit script refs: PRDemo.
